UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY AND MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - MILITARY VOTERS (%),ELECTORS - POLICE VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2016)
P.219_N.74,SARAWAK,P.219,MIRI,N.74,PUJUT,26202,17.9,70.4,7.5,0.6,1.8,1.8,99.97,0.03,0,0,7.86,21.04,22.08,22.52,17.61,6.39,1.99,0.51,48.96,51.04,URBAN
P.219_N.75,SARAWAK,P.219,MIRI,N.75,SENADIN,27874,21.7,49.7,21.7,1.1,4.6,1.2,98.39,0.01,0,1.59,11.84,26.22,25.54,19.96,11.54,3.84,0.84,0.22,49.03,50.97,SEMI-URBAN
P.220_N.76,SARAWAK,P.220,BARAM,N.76,MARUDI,14858,11,15.1,60.6,,12.6,0.7,99.44,0.01,0,0.55,7.66,19.2,21.8,21.84,16.23,8.08,3.47,1.72,49.99,50.01,RURAL
P.220_N.77,SARAWAK,P.220,BARAM,N.77,TELANG USAN,10000,0.5,3.7,1.5,,93.2,1.1,99.88,0,0,0.12,9.11,18.79,20.08,22.53,14.67,7.01,4.47,3.34,51.19,48.81,RURAL
P.220_N.78,SARAWAK,P.220,BARAM,N.78,MULU,8600,1,3.7,22.5,,70.4,2.4,100,0,0,0,7.4,16.82,20.96,23.54,15.54,8.42,4.71,2.59,51.38,48.62,RURAL
P.221_N.79,SARAWAK,P.221,LIMBANG,N.79,BUKIT KOTA,16437,56.5,28.1,10.3,,4,1.1,98.07,0.01,0,1.93,10.2,23.34,21.18,20.7,15.32,6.4,2.19,0.68,51.9,48.1,SEMI-URBAN
P.221_N.80,SARAWAK,P.221,LIMBANG,N.80,BATU DANAU,8657,4.2,3.2,54.5,,35.3,2.8,99.95,0.02,0,0.02,8.12,21.33,22.41,23.64,15.16,6.59,1.97,0.77,51.56,48.44,RURAL
P.222_N.81,SARAWAK,P.222,LAWAS,N.81,BA`KELALAN,7375,3.9,4.4,2.6,,87.8,1.3,100,0,0,0,8.91,20.95,24.01,23.04,13.68,6.1,2.35,0.97,53.21,46.79,RURAL
P.222_N.82,SARAWAK,P.222,LAWAS,N.82,BUKIT SARI,12418,73.8,14.2,1.6,,,0.7,99.18,0.01,0,0.81,12.48,23.62,21.45,19.44,14.61,5.47,2.25,0.69,51.57,48.43,RURAL


