UNIQUE CODE (2008),STATE (2008),PARLIAMENTARY CONSTITUENCY CODE (2008),PARLIAMENTARY CONSTITUENCY NAME (2008),AREA (SQ KM),NOTES
P. 187,SABAH,P. 187,KINABATANGAN,17877.04,As per 2003 redelineation exercise of Sabah
P. 188,SABAH,P. 188,SILAM,8249.39,As per 2003 redelineation exercise of Sabah
P. 189,SABAH,P. 189,SEMPORNA,1116.46,As per 2003 redelineation exercise of Sabah
P. 190,SABAH,P. 190,TAWAU,1435.94,As per 2003 redelineation exercise of Sabah
P. 191,SABAH,P. 191,KALABAKAN,4489.48,As per 2003 redelineation exercise of Sabah
P. 192,SARAWAK,P. 192,MAS GADING,1481,As per 2005 redelineation exercise of Sarawak
P. 193,SARAWAK,P. 193,SANTUBONG,1501,As per 2005 redelineation exercise of Sarawak
P. 194,SARAWAK,P. 194,PETRA JAYA,126,As per 2005 redelineation exercise of Sarawak
P. 195,SARAWAK,P. 195,BANDAR KUCHING,20,As per 2005 redelineation exercise of Sarawak
P. 196,SARAWAK,P. 196,STAMPIN,227,As per 2005 redelineation exercise of Sarawak
P. 197,SARAWAK,P. 197,KOTA SAMARAHAN,745,As per 2005 redelineation exercise of Sarawak
P. 198,SARAWAK,P. 198,MAMBONG,1331,As per 2005 redelineation exercise of Sarawak
P. 199,SARAWAK,P. 199,SERIAN,1463,As per 2005 redelineation exercise of Sarawak
P. 200,SARAWAK,P. 200,BATANG SADONG,997,As per 2005 redelineation exercise of Sarawak
P. 201,SARAWAK,P. 201,BATANG LUPAR,2024,As per 2005 redelineation exercise of Sarawak
P. 202,SARAWAK,P. 202,SRI AMAN,2678,As per 2005 redelineation exercise of Sarawak
P. 203,SARAWAK,P. 203,LUBOK ANTU,3294,As per 2005 redelineation exercise of Sarawak
P. 204,SARAWAK,P. 204,BETONG,1398,As per 2005 redelineation exercise of Sarawak
P. 205,SARAWAK,P. 205,SARATOK,1666,As per 2005 redelineation exercise of Sarawak
P. 206,SARAWAK,P. 206,TANJONG MANIS,2024,As per 2005 redelineation exercise of Sarawak
P. 207,SARAWAK,P. 207,IGAN,2206,As per 2005 redelineation exercise of Sarawak
P. 208,SARAWAK,P. 208,SARIKEI,712,As per 2005 redelineation exercise of Sarawak
P. 209,SARAWAK,P. 209,JULAU,2858,As per 2005 redelineation exercise of Sarawak
P. 210,SARAWAK,P. 210,KANOWIT,2187,As per 2005 redelineation exercise of Sarawak
P. 211,SARAWAK,P. 211,LANANG,719,As per 2005 redelineation exercise of Sarawak
P. 212,SARAWAK,P. 212,SIBU,1399,As per 2005 redelineation exercise of Sarawak
P. 213,SARAWAK,P. 213,MUKAH,2985,As per 2005 redelineation exercise of Sarawak
P. 214,SARAWAK,P. 214,SELANGAU,9041,As per 2005 redelineation exercise of Sarawak
P. 215,SARAWAK,P. 215,KAPIT,7071,As per 2005 redelineation exercise of Sarawak
P. 216,SARAWAK,P. 216,HULU RAJANG,31817,As per 2005 redelineation exercise of Sarawak
P. 217,SARAWAK,P. 217,BINTULU,10024,As per 2005 redelineation exercise of Sarawak
P. 218,SARAWAK,P. 218,SIBUTI,1576,As per 2005 redelineation exercise of Sarawak
P. 219,SARAWAK,P. 219,MIRI,771,As per 2005 redelineation exercise of Sarawak
P. 220,SARAWAK,P. 220,BARAM,18924,As per 2005 redelineation exercise of Sarawak
P. 221,SARAWAK,P. 221,LIMBANG,4211,As per 2005 redelineation exercise of Sarawak
P. 222,SARAWAK,P. 222,LAWAS,6973,As per 2005 redelineation exercise of Sarawak
