UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.47_NO. 3,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 3,BAHAU,ALLIANCE - MCA,THONG HIANG KIM,MALE,,
P.47_NO. 4,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 4,ROMPIN,SF - LPM,LIM KEE SAI,MALE,,
P.47_NO. 5,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 5,JEMPOL,ALLIANCE - UMNO,HAJI MOHAMAD KHATIB BIN MOHAMAD NOR,MALE,,
P.48_NO. 6,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 6,SRI MENANTI,ALLIANCE - UMNO,ABDUL SAMAD BIN IDRIS,MALE,36,
P.48_NO. 7,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 7,JOHOL,ALLIANCE - UMNO,ABU KASSIM BIN SAAD,MALE,,
P.48_NO. 8,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 8,ULU MUAR,ALLIANCE - UMNO,ARIFFIN BIN ALI,MALE,,
P.48_NO. 9,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 9,PILAH,ALLIANCE - UMNO,MOHAMED IDRIS BIN MATSIL,MALE,,
P.49_NO. 10,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 10,JIMAH,ALLIANCE - MIC,V. LETCHUMANAN,MALE,,
P.49_NO. 11,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 11,LUKUT,ALLIANCE - MCA,CHIN SEE YIN,MALE,,
P.49_NO. 12,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 12,SI-RUSA,ALLIANCE - UMNO,AWALUDIN BIN HAJI AHMAD,MALE,,
P.49_NO. 13,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 13,PASIR PANJANG,ALLIANCE - MIC,M. MUTHUCUMARU,MALE,,
P.49_NO. 14,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 14,LINGGI,ALLIANCE - UMNO,DR. MOHAMED SAID,MALE,52,
P.50_NO. 15,NEGRI SEMBILAN,P.50,REMBAU - TAMPIN,NO. 15,TERENTANG,ALLIANCE - UMNO,SITI RAHMAH BINTI HJ.KASSIM,FEMALE,33,
P.50_NO. 16,NEGRI SEMBILAN,P.50,REMBAU - TAMPIN,NO. 16,KOTA,ALLIANCE - UMNO,MOHD. YUSOF BIN ABDULLAH,MALE,,
P.50_NO. 17,NEGRI SEMBILAN,P.50,REMBAU - TAMPIN,NO. 17,TAMPIN,ALLIANCE - UMNO,MD. TAHA BIN ABD. TALIB,MALE,27,
P.50_NO. 18,NEGRI SEMBILAN,P.50,REMBAU - TAMPIN,NO. 18,GEMAS,ALLIANCE - MCA,FONG YEW WONG,MALE,,
P.51_NO. 19,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 19,LENGGENG,ALLIANCE - UMNO,ABDUL JALIL BIN HAJI AMINUDIN,MALE,,
P.51_NO. 20,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 20,LABU,SF - LPM,S. SATHAPPAN,MALE,,
P.51_NO. 21,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 21,BUKIT NANAS,ALLIANCE - MCA,LEE TEE SIONG,MALE,,
P.52_NO. 22,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,NO. 22,RANTAU,SF - LPM,GURNAM SINGH GILL,MALE,,
P.52_NO. 23,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,NO. 23,SUNGEI UJONG,ALLIANCE - MCA,LIM KEE SIONG,MALE,,
P.52_NO. 24,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,NO. 24,RAHANG,ALLIANCE - MCA,HAN HIU FONG,MALE,,
P.53_NO. 1,PAHANG,P.53,LIPIS,NO. 1,JELAI,ALLIANCE - UMNO,MUHAMMAD NOR BIN SULAIMAN,MALE,,
P.53_NO. 2,PAHANG,P.53,LIPIS,NO. 2,KUALA LIPIS,ALLIANCE - MCA,SEONG SIK YONG,MALE,,
P.53_NO. 3,PAHANG,P.53,LIPIS,NO. 3,TANJONG BESAR,ALLIANCE - UMNO,MOHD. KHAIRUDDIN BIN MOHD. KAWI,MALE,31,
P.53_NO. 4,PAHANG,P.53,LIPIS,NO. 4,JERANTUT,ALLIANCE - UMNO,ABDULLAH BIN HAJI MOHD. AKIL,MALE,,
